r0.0	a,b,c,d,e,f,g,h,i,j	['d,e,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,j,a,b,c:N']
r0.2	a,b,c,d,e,f,g,h,i,j	['b,c,e,f,g,h,i,a,d:N', 'b,c,e,f,g,h,i,j,a:N']
r0.3	a,b,c,d,e,f,g,h,i,j	['d,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']
r0.4	a,b,c,d,e,f,g,h,i,j	['b,c,d,f,g,h,i,j,e:N', 'b,c,d,g,h,i,j,a,e:N']
r1.0	S	['0,1:T', '0,2:T', '0,8:T', '1,2:T', '1,3:T', '1,9:T', '2,3:T', '2,4:T', '2,5:T', '2,6:T', '2,7:T', '2,8:T', '2,9:T', '3,9:T', '3,4,5,6,7,8,9,0,1,2:N', '3,4,5,6,7,8,9,1,2:N']
r2.0	a,b,c,d,e,f,g,h,i	['a,b,c,d,e,f,g,h,i:N']
r2.1	a,b,c,d,e,f,g,h,i	['0,c:T', '0,d:T', '0,f:T', '0,g:T', '0,a:T', '0,c,d,e,f,g,h,i,a,b:N', '0,c,e,f,g,h,i,a,b:N']
r2.2	a,b,c,d,e,f,g,h,i	['0,b:T', '0,f:T', 'b,0,c,d,e,g,h,i,a:N']
r2.3	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,g:T', 'e,f,g,h,0,i,a,b,c:N', 'd:T']
r2.4	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', 'a:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']
r2.6	a,b,c,d,e,f,g,h,i	['0,c:T', '0,f:T', '0,g:T', '0,i:T', 'b,0,c,e,f,g,h,i,a,d:N', 'b,0,c,e,f,g,h,a,d:N']
r2.8	a,b,c,d,e,f,g,h,i	['0,h:T', '0,a:T', 'd,e,f,g,0,h,i,a,b:N', 'c:T']
r2.9	a,b,c,d,e,f,g,h,i	['a,b,c,d,f,g,h,i,e:N', 'a,b,c,d,f,g,h,i,e:N']
r2.10	a,b,c,d,e,f,g,h,i	['0,b:T', '0,a:T', 'c:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']
r2.11	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,d:T', '0,a:T', 'i:T', 'h:T', 'e:T', 'g:T', 'f:T']
r2.12	a,b,c,d,e,f,g,h,i	['0,c:T', '0,h:T', 'a:T', 'b:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T']
r2.15	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,d:T', '0,e:T', '0,g:T', '0,h:T', '0,c,d,e,f,g,i,a,b:N']
r2.16	a,b,c,d,e,f,g,h,i	['0,f:T', '0,g:T', '0,a:T', 'c:T', 'b:T', 'e:T', 'd:T', 'i:T', 'h:T']
r2.18	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,d:T', 'b,c,d,0,e,f,g,h,i:N', 'a:T']
r2.19	a,b,c,d,e,f,g,h,i	['0,b:T', 'b,c,d,e,0,g,h,i,a:N', 'f:T']
r2.20	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,f:T', '0,a:T', 'a,b,c,0,e,f,g,h,d:N', 'i:T']
r2.21	a,b,c,d,e,f,g,h,i	['0,b:T', '0,c:T', '0,g:T', 'd,e,f,0,g,i,a,b,c:N', 'h:T']
r2.22	a,b,c,d,e,f,g,h,i	['0,d:T', '0,a:T', 'c:T', 'b:T', 'e:T', 'g:T', 'f:T', 'i:T', 'h:T']
r2.23	a,b,c,d,e,f,g,h,i	['0,b:T', '0,f:T', 'b,0,d,e,f,g,h,i,a:N', 'c:T']
r2.24	a,b,c,d,e,f,g,h,i	['0,c:T', '0,d:T', 'a:T', 'b:T', 'e:T', 'g:T', 'f:T', 'i:T', 'h:T']
r2.25	a,b,c,d,e,f,g,h,i	['d,e,f,g,h,i,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']
r2.26	a,b,c,d,e,f,g,h,i	['0,b:T', 'a:T', 'c:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']
