r0.0,"a,b,c,d,e,f,g,h,i,j","['d,e,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,j,a,b,c:N']",0.571428,0,r0.0,"a,b,c,d,e,f,g,h,i,j","['d,e,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,j,a,b,c:N']",0.142857,0.571428,,0.999999
r0.2,"a,b,c,d,e,f,g,h,i,j","['b,c,e,f,g,h,i,a,d:N', 'b,c,e,f,g,h,i,j,a:N']",0.142857,1,r0.1,"a,b,c,d,e,f,g,h,i,j","['d,e,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,i,j,a,b:N']",0.142857,,0.999999,0
r0.3,"a,b,c,d,e,f,g,h,i,j","['d,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']",0.142857,2,r0.2,"a,b,c,d,e,f,g,h,i,j","['b,c,e,f,g,h,i,a,d:N', 'b,c,e,f,g,h,i,j,a:N']",0.142857,,,0
r0.4,"a,b,c,d,e,f,g,h,i,j","['b,c,d,f,g,h,i,j,e:N', 'b,c,d,g,h,i,j,a,e:N']",0.142857,3,r0.3,"a,b,c,d,e,f,g,h,i,j","['d,f,g,h,i,j,a,b,c:N', 'd,e,f,g,h,i,a,b,c:N']",0.142857,,,0
r1.0,S,"['0,1:T', '0,2:T', '0,8:T', '1,2:T', '1,3:T', '1,9:T', '2,3:T', '2,4:T', '2,5:T', '2,6:T', '2,7:T', '2,8:T', '2,9:T', '3,9:T', '3,4,5,6,7,8,9,0,1,2:N', '3,4,5,6,7,8,9,1,2:N']",1,4,r0.4,"a,b,c,d,e,f,g,h,i,j","['b,c,d,f,g,h,i,j,e:N', 'b,c,d,g,h,i,j,a,e:N']",0.142857,,,
r2.0,"a,b,c,d,e,f,g,h,i","['a,b,c,d,e,f,g,h,i:N']",0.347826,5,r0.5,"a,b,c,d,e,f,g,h,i,j","['d,e,f,g,h,i,j,a,b,c:N', 'd,e,f,h,i,j,a,b,c:N']",0.142857,,,
r2.1,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,d:T', '0,f:T', '0,g:T', '0,a:T', '0,c,d,e,f,g,h,i,a,b:N', '0,c,e,f,g,h,i,a,b:N']",0.021739,6,r0.6,"a,b,c,d,e,f,g,h,i,j","['d,e,f,g,h,i,j,a,b,c:N', 'd,e,g,h,i,j,a,b,c:N']",0.142857,,,
r2.2,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,f:T', 'b,0,c,d,e,g,h,i,a:N']",0.021739,7,r1.0,S,"['0,1:T', '0,2:T', '0,8:T', '1,2:T', '1,3:T', ...",1,,,
r2.3,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,g:T', 'e,f,g,h,0,i,a,b,c:N', 'd:T']",0.021739,8,r2.0,"a,b,c,d,e,f,g,h,i","['a,b,c,d,e,f,g,h,i:N']",0.021739,0.347826,,
r2.4,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', 'a:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']",0.130435,9,r2.1,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,d:T', '0,f:T', '0,g:T', '0,a:T', ...",0.021739,,,
r2.6,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,f:T', '0,g:T', '0,i:T', 'b,0,c,e,f,g,h,i,a,d:N', 'b,0,c,e,f,g,h,a,d:N']",0.021739,10,r2.2,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,f:T', 'b,0,c,d,e,g,h,i,a:N']",0.021739,,,
r2.8,"a,b,c,d,e,f,g,h,i","['0,h:T', '0,a:T', 'd,e,f,g,0,h,i,a,b:N', 'c:T']",0.021739,11,r2.3,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,g:T', 'e,f,g,h,0,i,a,b,c...",0.021739,,,
r2.9,"a,b,c,d,e,f,g,h,i","['a,b,c,d,f,g,h,i,e:N', 'a,b,c,d,f,g,h,i,e:N']",0.021739,12,r2.4,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', 'a:T', 'e:T', 'd:T', 'g:T',...",0.130435,,,
r2.10,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,a:T', 'c:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T', 'h:T']",0.021739,13,r2.5,"a,b,c,d,e,f,g,h,i","['b,c,e,f,g,h,i,a,d:N']",0.043478,,,
r2.11,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', '0,a:T', 'i:T', 'h:T', 'e:T', 'g:T', 'f:T']",0.021739,14,r2.6,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,f:T', '0,g:T', '0,i:T', 'b,0,c,e,...",0.021739,,,
r2.12,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,h:T', 'a:T', 'b:T', 'e:T', 'd:T', 'g:T', 'f:T', 'i:T']",0.021739,15,r2.7,"a,b,c,d,e,f,g,h,i","['b,c,d,f,g,h,i,a,e:N']",0.043478,,,
r2.15,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', '0,e:T', '0,g:T', '0,h:T', '0,c,d,e,f,g,i,a,b:N']",0.021739,16,r2.8,"a,b,c,d,e,f,g,h,i","['0,h:T', '0,a:T', 'd,e,f,g,0,h,i,a,b:N', 'c:T']",0.021739,,,
r2.16,"a,b,c,d,e,f,g,h,i","['0,f:T', '0,g:T', '0,a:T', 'c:T', 'b:T', 'e:T', 'd:T', 'i:T', 'h:T']",0.021739,17,r2.9,"a,b,c,d,e,f,g,h,i","['a,b,c,d,f,g,h,i,e:N', 'a,b,c,d,f,g,h,i,e:N']",0.021739,,,
r2.18,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', 'b,c,d,0,e,f,g,h,i:N', 'a:T']",0.021739,18,r2.10,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,a:T', 'c:T', 'e:T', 'd:T', 'g:T',...",0.021739,,,
r2.19,"a,b,c,d,e,f,g,h,i","['0,b:T', 'b,c,d,e,0,g,h,i,a:N', 'f:T']",0.021739,19,r2.11,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', '0,a:T', 'i:T', 'h...",0.021739,,,
r2.20,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,f:T', '0,a:T', 'a,b,c,0,e,f,g,h,d:N', 'i:T']",0.021739,20,r2.12,"a,b,c,d,e,f,g,h,i","['0,c:T', '0,h:T', 'a:T', 'b:T', 'e:T', 'd:T',...",0.021739,,,
r2.21,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,g:T', 'd,e,f,0,g,i,a,b,c:N', 'h:T']",0.021739,21,r2.13,"a,b,c,d,e,f,g,h,i","['d,e,f,g,h,i,a,b,c:N']",0.130435,,,
r2.22,"a,b,c,d,e,f,g,h,i","['0,d:T', '0,a:T', 'c:T', 'b:T', 'e:T', 'g:T', 'f:T', 'i:T', 'h:T']",0.021739,22,r2.14,"a,b,c,d,e,f,g,h,i","['c,d,e,f,g,h,i,a,b:N']",0.086957,,,
r2.23,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,f:T', 'b,0,d,e,f,g,h,i,a:N', 'c:T']",0.021739,23,r2.15,"a,b,c,d,e,f,g,h,i","['0,b:T', '0,c:T', '0,d:T', '0,e:T', '0,g:T', ...",0.021739,,,
